year,Number_of_releases,Average_duration,Explicit_ratio,Average_danceability,Average_energy,Average_loudness,Average_speechiness,Average_acousticness,Average_instrumentalness,Average_liveness,Average_valence,Average_tempo
1999,37,253701.35135135136,0.1891891891891892,0.6701621621621623,0.7354054054054051,-5.991756756756757,0.06770270270270269,0.13822058108108104,0.009413442162162161,0.165372972972973,0.5724135135135134,123.46294594594596
2000,71,250951.28169014084,0.16901408450704225,0.6908169014084509,0.7479014084507041,-6.174732394366199,0.07872535211267606,0.11379576056338028,0.03158001873239436,0.18301408450704226,0.6491830985915495,112.66087323943664
2001,106,242871.51886792452,0.2169811320754717,0.6746981132075469,0.728085849056604,-5.864962264150944,0.10728396226415089,0.14140998113207545,0.02174243235849057,0.1745018867924528,0.6588150943396224,117.41487735849056
2002,85,252388.31764705884,0.32941176470588235,0.6749176470588237,0.7221764705882353,-5.422376470588235,0.12281058823529412,0.13822005764705883,0.010541244941176468,0.19115999999999994,0.5796352941176469,112.60742352941176
2003,91,236625.43956043955,0.24175824175824176,0.6660329670329671,0.7064725274725275,-5.811681318681317,0.11990989010989014,0.18097139780219781,0.04049746054945055,0.16497362637362642,0.6137505494505497,119.41037362637364
2004,91,233613.7912087912,0.37362637362637363,0.6918351648351648,0.7377252747252747,-5.181186813186811,0.12744725274725277,0.109416021978022,0.016650052417582415,0.18235714285714283,0.6066329670329669,115.60196703296704
2005,100,237822.74,0.28,0.6739700000000003,0.7003899999999997,-5.932799999999999,0.127408,0.12468607000000004,0.012109487400000002,0.18725200000000006,0.5524799999999999,119.19264999999997
2006,92,239060.20652173914,0.2826086956521739,0.661467391304348,0.7030869565217391,-5.677173913043479,0.11671086956521738,0.11533246739130436,0.0016628425000000003,0.19473369565217388,0.6001847826086955,113.71296739130437
2007,88,231721.9659090909,0.25,0.6238181818181817,0.7688977272727272,-5.070875,0.1117045454545455,0.11291796250000004,0.013530918295454547,0.18558295454545462,0.5515443181818181,121.08545454545451
2008,91,234391.2967032967,0.23076923076923078,0.6675054945054947,0.7545934065934068,-5.171901098901098,0.08802967032967031,0.07674980439560443,0.02072634395604395,0.1733648351648351,0.5606428571428572,125.71456043956047
2009,80,236016.175,0.275,0.6234875000000002,0.7517374999999997,-4.996487499999999,0.09002125000000001,0.11943153750000002,0.029036373875000004,0.21879624999999994,0.5599649999999999,125.6966625
2010,103,220721.6990291262,0.22330097087378642,0.6604174757281553,0.7768932038834954,-4.867087378640778,0.10074854368932036,0.09726452815533977,0.009845457864077669,0.20074174757281552,0.5733922330097085,120.74986407766987
2011,95,228493.83157894737,0.2631578947368421,0.6321263157894741,0.7585789473684206,-5.145757894736842,0.09102210526315797,0.10829094736842107,0.018013308736842103,0.17697157894736842,0.530658947368421,125.53246315789467
2012,111,224712.85585585586,0.17117117117117117,0.6349009009009007,0.771234234234234,-4.822414414414413,0.08015675675675675,0.08752454054054055,0.014937883873873879,0.21729369369369367,0.5627774774774774,120.60676576576574
2013,86,230879.7558139535,0.22093023255813954,0.6342674418604654,0.7102430232558141,-5.799906976744184,0.0846360465116279,0.10290758139534883,0.009518366860465116,0.1917162790697675,0.48645000000000016,122.05541860465111
2014,97,219161.29896907217,0.1958762886597938,0.661639175257732,0.7267835051546394,-5.38280412371134,0.07370206185567008,0.11725620618556702,0.01105521030927835,0.19069587628865978,0.5092886597938144,121.8213195876289
2015,93,219056.21505376344,0.3010752688172043,0.6505376344086021,0.6937741935483871,-5.686763440860214,0.08680752688172046,0.1356091827956989,0.023959050537634405,0.17639462365591388,0.49078602150537654,120.00583870967743
2016,97,221243.05154639174,0.31958762886597936,0.6670824742268038,0.6763711340206184,-5.855907216494845,0.10331649484536082,0.153350206185567,0.01140722783505155,0.15661649484536083,0.48230515463917534,120.47405154639172
2017,110,212369.9,0.33636363636363636,0.6934818181818183,0.688854545454545,-5.562227272727273,0.11504999999999997,0.12244048181818179,0.006055585545454547,0.15501363636363646,0.4837309090909091,120.04530909090913
2018,103,208808.41747572814,0.47572815533980584,0.7267184466019415,0.6459029126213592,-5.839572815533984,0.1227359223300971,0.19596002912621355,0.0066356267961165056,0.16451262135922334,0.46828155339805844,118.81766990291263
2019,88,197209.25,0.42045454545454547,0.7195795454545454,0.6622613636363637,-5.86390909090909,0.1446602272727273,0.19001860227272724,0.003693358068181818,0.16282272727272729,0.5372159090909091,127.98642045454544
